B,1,1,1,1,2,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,2
C,2,1,1,1,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,2,2,1,1,1,2
D,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0
E,1,1,1,1,1,1,0,0,0,0,1,1,1,1,2,1,0,0,0,0,1,1,1,1,1
F,1,1,1,1,1,1,0,0,0,0,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0
G,2,1,1,1,2,1,0,0,0,0,1,0,2,1,1,1,0,0,0,1,2,1,1,1,2
H,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1
J,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,1,2,0,0
L,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,2
O,2,1,1,1,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,1,1,1,2
P,1,1,1,1,2,1,0,0,0,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0
T,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
U,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,1,1,1,2
X,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
Y,1,0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
